id,name,url,price
127,Смартфон HUAWEI Mate 20 6/128GB,https://market.yandex.ru/product--smartfon-huawei-mate-20-6-128gb/202525080?show-uid=15490588326646087466616127&nid=54726&context=search,44690
128,Смартфон Nokia 7.1 32GB,https://market.yandex.ru/product--smartfon-nokia-7-1-32gb/194605445?show-uid=15490588326646087466616128&nid=54726&context=search,17290
129,Смартфон AGM A9 4/64GB,https://market.yandex.ru/product--smartfon-agm-a9-4-64gb/270942177?show-uid=15490588326646087466616129&nid=54726&context=search,26900
130,Смартфон Apple iPhone 8 64GB,https://market.yandex.ru/product--smartfon-apple-iphone-8-64gb/1732171388?show-uid=15490588326646087466616130&nid=54726&context=search,42890
131,Смартфон Nokia 3.1 16GB,https://market.yandex.ru/product--smartfon-nokia-3-1-16gb/62468249?show-uid=15490588326646087466616131&nid=54726&context=search,8100
132,Смартфон Xiaomi Mi A2 4/32GB,https://market.yandex.ru/product--smartfon-xiaomi-mi-a2-4-32gb/133624404?show-uid=15490588326646087466616132&nid=54726&context=search,12100
133,Смартфон Xiaomi Redmi 5A 16GB,https://market.yandex.ru/product--smartfon-xiaomi-redmi-5a-16gb/1761878029?show-uid=15490588326646087466616133&nid=54726&context=search,7450
134,Смартфон ZTE Blade V9 Vita 3/32GB,https://market.yandex.ru/product--smartfon-zte-blade-v9-vita-3-32gb/175236569?show-uid=15490588326646087466616134&nid=54726&context=search,8610
135,Смартфон Apple iPhone 7 32GB,https://market.yandex.ru/product--smartfon-apple-iphone-7-32gb/14206636?show-uid=15490588326646087466616135&nid=54726&context=search,31490
136,Смартфон Alcatel 1X 5059D,https://market.yandex.ru/product--smartfon-alcatel-1x-5059d/39919247?show-uid=15490588326646087466616136&nid=54726&context=search,5390
137,Смартфон Sony Xperia XA1 Plus Dual 32GB,https://market.yandex.ru/product--smartfon-sony-xperia-xa1-plus-dual-32gb/1731808436?show-uid=15490588326646087466616137&nid=54726&context=search,12390
